2024-03-14 20:20:38 {'message': 'received a viewing request', 'requested streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:24:05 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0004480799980228767, 'data_size': 214163}
2024-03-14 20:24:09 {'message': 'received broadcasted data', 'length of data': 215776, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:24:09 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005142060035723262, 'data_size': 215776}
2024-03-14 20:24:15 {'message': 'received broadcasted data', 'length of data': 215115, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:24:15 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00029170900234021246, 'data_size': 215115}
2024-03-14 20:24:19 {'message': 'received broadcasted data', 'length of data': 216148, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:24:19 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0003238459976273589, 'data_size': 216148}
2024-03-14 20:24:25 {'message': 'received broadcasted data', 'length of data': 212909, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:24:25 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0003792729985434562, 'data_size': 212909}
2024-03-14 20:24:29 {'message': 'received broadcasted data', 'length of data': 220199, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:24:29 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005000800010748208, 'data_size': 220199}
2024-03-14 20:24:35 {'message': 'received broadcasted data', 'length of data': 206546, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:24:35 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00024867400497896597, 'data_size': 206546}
2024-03-14 20:24:39 {'message': 'received broadcasted data', 'length of data': 214805, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:24:39 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.000398071002564393, 'data_size': 214805}
2024-03-14 20:24:45 {'message': 'received broadcasted data', 'length of data': 211065, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:24:45 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0003325220022816211, 'data_size': 211065}
2024-03-14 20:24:49 {'message': 'received broadcasted data', 'length of data': 229889, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:24:49 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0003518899975460954, 'data_size': 229889}
2024-03-14 20:24:55 {'message': 'received broadcasted data', 'length of data': 214404, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:24:55 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005710400000680238, 'data_size': 214404}
2024-03-14 20:24:59 {'message': 'received broadcasted data', 'length of data': 236328, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:24:59 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00046678499347763136, 'data_size': 236328}
2024-03-14 20:25:05 {'message': 'received broadcasted data', 'length of data': 207338, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:25:05 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005462229964905418, 'data_size': 207338}
2024-03-14 20:25:09 {'message': 'received broadcasted data', 'length of data': 222604, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:25:09 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00045147899800213054, 'data_size': 222604}
